mode,layer,offset_k,successes,trials,percent_true
freeze,11,-4,7,10,0.7
freeze,11,-3,7,10,0.7
freeze,11,-2,7,10,0.7
freeze,11,-1,7,10,0.7
freeze,11,0,5,10,0.5
freeze,11,1,7,10,0.7
freeze,11,2,7,10,0.7
freeze,11,3,7,10,0.7
freeze,11,4,6,10,0.6
freeze,11,5,7,10,0.7
freeze,11,6,7,10,0.7
freeze,11,7,7,10,0.7
freeze,12,-7,7,10,0.7
freeze,12,-6,7,10,0.7
freeze,12,-5,7,10,0.7
freeze,12,-4,7,10,0.7
freeze,12,-3,7,10,0.7
freeze,12,-2,7,10,0.7
freeze,12,-1,7,10,0.7
freeze,12,0,6,10,0.6
freeze,12,1,7,10,0.7
freeze,12,2,7,10,0.7
freeze,12,3,7,10,0.7
freeze,12,4,6,10,0.6
freeze,12,5,7,10,0.7
freeze,12,6,7,10,0.7
freeze,12,7,7,10,0.7
freeze,13,-7,7,10,0.7
freeze,13,-6,7,10,0.7
freeze,13,-5,7,10,0.7
freeze,13,-4,7,10,0.7
freeze,13,-3,7,10,0.7
freeze,13,-2,7,10,0.7
freeze,13,-1,7,10,0.7
freeze,13,0,5,10,0.5
freeze,13,1,7,10,0.7
freeze,13,2,8,10,0.8
freeze,13,3,7,10,0.7
freeze,13,4,7,10,0.7
freeze,13,5,7,10,0.7
freeze,13,6,7,10,0.7
freeze,13,7,7,10,0.7
freeze,14,-7,7,10,0.7
freeze,14,-6,7,10,0.7
freeze,14,-5,7,10,0.7
freeze,14,-4,7,10,0.7
freeze,14,-3,7,10,0.7
freeze,14,-2,7,10,0.7
freeze,14,-1,7,10,0.7
freeze,14,0,5,10,0.5
freeze,14,1,8,10,0.8
freeze,14,2,7,10,0.7
freeze,14,3,7,10,0.7
freeze,14,4,7,10,0.7
freeze,14,5,7,10,0.7
freeze,14,6,7,10,0.7
freeze,14,7,7,10,0.7
freeze,15,-7,7,10,0.7
freeze,15,-6,7,10,0.7
freeze,15,-5,7,10,0.7
freeze,15,-4,7,10,0.7
freeze,15,-3,7,10,0.7
freeze,15,-2,7,10,0.7
freeze,15,-1,7,10,0.7
freeze,15,0,6,10,0.6
freeze,15,1,8,10,0.8
freeze,15,2,7,10,0.7
freeze,15,3,7,10,0.7
freeze,15,4,6,10,0.6
freeze,15,5,7,10,0.7
freeze,15,6,7,10,0.7
freeze,15,7,7,10,0.7
freeze,16,-7,7,10,0.7
freeze,16,-6,7,10,0.7
freeze,16,-5,7,10,0.7
freeze,16,-4,7,10,0.7
freeze,16,-3,7,10,0.7
freeze,16,-2,7,10,0.7
freeze,16,-1,7,10,0.7
freeze,16,0,7,10,0.7
freeze,16,1,7,10,0.7
freeze,16,2,7,10,0.7
freeze,16,3,7,10,0.7
freeze,16,4,6,10,0.6
freeze,16,5,7,10,0.7
freeze,16,6,7,10,0.7
freeze,16,7,7,10,0.7
freeze,17,-7,7,10,0.7
freeze,17,-6,7,10,0.7
freeze,17,-5,7,10,0.7
freeze,17,-4,7,10,0.7
freeze,17,-3,7,10,0.7
freeze,17,-2,7,10,0.7
freeze,17,-1,7,10,0.7
freeze,17,0,7,10,0.7
freeze,17,1,7,10,0.7
freeze,17,2,7,10,0.7
freeze,17,3,7,10,0.7
freeze,17,4,7,10,0.7
freeze,17,5,7,10,0.7
freeze,17,6,7,10,0.7
freeze,17,7,7,10,0.7
freeze,18,-7,7,10,0.7
freeze,18,-6,7,10,0.7
freeze,18,-5,7,10,0.7
freeze,18,-4,7,10,0.7
freeze,18,-3,7,10,0.7
freeze,18,-2,7,10,0.7
freeze,18,-1,7,10,0.7
freeze,18,0,7,10,0.7
freeze,18,1,7,10,0.7
freeze,18,2,7,10,0.7
freeze,18,3,7,10,0.7
freeze,18,4,7,10,0.7
freeze,18,5,7,10,0.7
freeze,18,6,7,10,0.7
freeze,18,7,7,10,0.7
freeze,19,-7,7,10,0.7
freeze,19,-6,7,10,0.7
freeze,19,-5,7,10,0.7
freeze,19,-4,7,10,0.7
freeze,19,-3,7,10,0.7
freeze,19,-2,7,10,0.7
freeze,19,-1,7,10,0.7
freeze,19,0,6,10,0.6
freeze,19,1,7,10,0.7
freeze,19,2,7,10,0.7
freeze,19,3,7,10,0.7
freeze,19,4,7,10,0.7
freeze,19,5,7,10,0.7
freeze,19,6,7,10,0.7
freeze,19,7,7,10,0.7
freeze,20,-7,7,10,0.7
freeze,20,-6,7,10,0.7
freeze,20,-5,7,10,0.7
freeze,20,-4,7,10,0.7
freeze,20,-3,7,10,0.7
freeze,20,-2,7,10,0.7
freeze,20,-1,7,10,0.7
freeze,20,0,7,10,0.7
freeze,20,1,7,10,0.7
freeze,20,2,7,10,0.7
freeze,20,3,7,10,0.7
freeze,20,4,7,10,0.7
freeze,20,5,7,10,0.7
freeze,20,6,7,10,0.7
freeze,20,7,7,10,0.7
freeze,21,-7,7,10,0.7
freeze,21,-6,7,10,0.7
freeze,21,-5,7,10,0.7
freeze,21,-4,7,10,0.7
freeze,21,-3,7,10,0.7
freeze,21,-2,7,10,0.7
freeze,21,-1,7,10,0.7
freeze,21,0,7,10,0.7
freeze,21,1,7,10,0.7
freeze,21,2,7,10,0.7
freeze,21,3,7,10,0.7
freeze,21,4,7,10,0.7
freeze,21,5,7,10,0.7
freeze,21,6,7,10,0.7
freeze,21,7,7,10,0.7
freeze,22,-7,7,10,0.7
freeze,22,-6,7,10,0.7
freeze,22,-5,7,10,0.7
freeze,22,-4,7,10,0.7
freeze,22,-3,7,10,0.7
freeze,22,-2,7,10,0.7
freeze,22,-1,7,10,0.7
freeze,22,0,7,10,0.7
freeze,22,1,7,10,0.7
freeze,22,2,7,10,0.7
freeze,22,3,7,10,0.7
freeze,22,4,7,10,0.7
freeze,22,5,7,10,0.7
freeze,22,6,7,10,0.7
freeze,22,7,7,10,0.7
freeze,23,-7,7,10,0.7
freeze,23,-6,7,10,0.7
freeze,23,-5,7,10,0.7
freeze,23,-4,7,10,0.7
freeze,23,-3,7,10,0.7
freeze,23,-2,7,10,0.7
freeze,23,-1,7,10,0.7
freeze,23,0,7,10,0.7
freeze,23,1,7,10,0.7
freeze,23,2,7,10,0.7
freeze,23,3,7,10,0.7
freeze,23,4,7,10,0.7
freeze,23,5,7,10,0.7
freeze,23,6,7,10,0.7
freeze,23,7,7,10,0.7
